,94,131,171,193,304,211,335,6173
2011-10-20,2011-10-20T00:00:02.12Z,2011-10-20T00:00:09.62Z,2011-10-20T00:00:12.34Z,2011-10-20T00:00:07.84Z,2011-10-20T00:00:08.12Z,2011-10-20T00:00:00.62Z,2011-10-20T00:00:03.63Z,2011-10-19T23:58:16.50Z
2011-10-21,2011-10-21T00:00:02.12Z,2011-10-21T00:00:09.62Z,2011-10-21T00:00:12.34Z,2011-10-21T00:00:07.84Z,2011-10-21T00:00:08.12Z,2011-10-21T00:00:00.63Z,2011-10-21T00:00:03.63Z,2011-10-20T23:58:16.30Z
2011-10-22,2011-10-22T00:00:02.12Z,2011-10-22T00:00:09.62Z,2011-10-22T00:00:12.35Z,2011-10-22T00:00:07.84Z,2011-10-22T00:00:08.12Z,2011-10-22T00:00:00.62Z,2011-10-22T00:00:03.62Z,2011-10-21T23:58:16.20Z
2011-10-23,2011-10-23T00:00:02.12Z,2011-10-23T00:00:09.62Z,2011-10-23T00:00:12.35Z,2011-10-23T00:00:07.84Z,2011-10-23T00:00:08.12Z,2011-10-23T00:00:00.62Z,2011-10-23T00:00:03.62Z,2011-10-22T23:58:16.10Z
2011-10-24,2011-10-24T00:00:02.12Z,2011-10-24T00:00:09.62Z,2011-10-24T00:00:12.35Z,2011-10-24T00:00:07.84Z,2011-10-24T00:00:08.14Z,2011-10-24T00:00:00.63Z,2011-10-24T00:00:03.63Z,2011-10-23T23:58:15.90Z
2011-10-25,2011-10-25T00:00:02.12Z,2011-10-25T00:00:09.62Z,2011-10-25T00:00:12.35Z,2011-10-25T00:00:07.84Z,2011-10-25T00:00:08.14Z,2011-10-25T00:00:00.62Z,2011-10-25T00:00:03.62Z,2011-10-24T23:58:15.80Z
2011-10-27,2011-10-27T00:27:14.12Z,2011-10-27T00:27:09.62Z,2011-10-27T00:27:12.35Z,2011-10-27T00:27:07.84Z,2011-10-27T00:27:08.11Z,2011-10-27T00:27:12.62Z,2011-10-27T00:27:03.60Z,2011-10-27T00:46:15.60Z
2011-10-28,2011-10-28T00:00:02.12Z,2011-10-28T00:00:09.62Z,2011-10-28T00:00:12.34Z,2011-10-28T00:00:07.84Z,2011-10-28T00:00:08.12Z,2011-10-28T00:00:00.62Z,2011-10-28T00:00:03.62Z,2011-10-27T23:58:15.40Z
2011-10-29,2011-10-29T00:00:02.12Z,2011-10-29T00:00:09.62Z,2011-10-29T00:00:12.34Z,2011-10-29T00:00:07.84Z,2011-10-29T00:00:08.12Z,2011-10-29T00:00:00.62Z,2011-10-29T00:00:03.62Z,2011-10-28T23:58:15.30Z
2011-10-30,2011-10-30T00:00:02.12Z,2011-10-30T00:00:09.62Z,2011-10-30T00:00:12.35Z,2011-10-30T00:00:07.84Z,2011-10-30T00:00:08.12Z,2011-10-30T00:00:00.62Z,2011-10-30T00:00:03.63Z,2011-10-29T23:58:15.10Z
2011-10-31,2011-10-31T00:00:02.14Z,2011-10-31T00:00:09.62Z,2011-10-31T00:00:12.35Z,2011-10-31T00:00:07.84Z,2011-10-31T00:00:08.12Z,2011-10-31T00:00:00.62Z,2011-10-31T00:00:03.62Z,2011-10-30T23:58:15.00Z
2012-01-01,2012-01-01T00:00:02.12Z,2012-01-01T00:00:09.62Z,2012-01-01T00:00:12.34Z,2012-01-01T00:00:07.84Z,2012-01-01T00:00:08.14Z,2012-01-01T00:00:00.62Z,2012-01-01T00:00:03.62Z,2011-12-31T23:58:10.20Z
2012-01-02,2012-01-02T00:00:02.12Z,2012-01-02T00:00:09.62Z,2012-01-02T00:00:12.34Z,2012-01-02T00:00:07.84Z,2012-01-02T00:00:08.14Z,2012-01-02T00:00:00.62Z,2012-01-02T00:00:03.62Z,2012-01-01T23:58:10.10Z
2012-01-03,2012-01-03T00:00:02.12Z,2012-01-03T00:00:09.62Z,2012-01-03T00:00:12.34Z,2012-01-03T00:00:07.84Z,2012-01-03T00:00:08.14Z,2012-01-03T00:00:00.62Z,2012-01-03T00:00:03.63Z,2012-01-02T23:58:10.10Z
2012-01-04,2012-01-04T00:00:02.13Z,2012-01-04T00:00:09.62Z,2012-01-04T00:00:12.35Z,2012-01-04T00:00:07.84Z,2012-01-04T00:00:08.12Z,2012-01-04T00:00:00.63Z,2012-01-04T00:00:03.63Z,2012-01-03T23:58:10.10Z
2012-01-05,2012-01-05T00:00:02.12Z,2012-01-05T00:00:09.62Z,2012-01-05T00:00:12.34Z,2012-01-05T00:00:07.84Z,2012-01-05T00:00:08.12Z,2012-01-05T00:00:00.63Z,2012-01-05T00:00:03.63Z,2012-01-04T23:58:10.10Z
2012-01-06,2012-01-06T00:00:02.12Z,2012-01-06T00:00:09.62Z,2012-01-06T00:00:12.34Z,2012-01-06T00:00:07.84Z,2012-01-06T00:00:08.12Z,2012-01-06T00:00:00.62Z,2012-01-06T00:00:03.62Z,2012-01-05T23:58:10.10Z
2012-01-07,2012-01-07T00:00:02.13Z,2012-01-07T00:00:09.62Z,2012-01-07T00:00:12.34Z,2012-01-07T00:00:07.84Z,2012-01-07T00:00:08.12Z,2012-01-07T00:00:00.62Z,2012-01-07T00:00:03.62Z,2012-01-06T23:58:10.10Z
2012-01-08,2012-01-08T00:00:02.12Z,2012-01-08T00:00:09.62Z,2012-01-08T00:00:12.34Z,2012-01-08T00:00:07.84Z,2012-01-08T00:00:08.14Z,2012-01-08T00:00:00.62Z,2012-01-08T00:00:03.62Z,2012-01-07T23:58:10.10Z
2012-01-09,2012-01-09T00:00:02.12Z,2012-01-09T00:00:09.62Z,2012-01-09T00:00:12.34Z,2012-01-09T00:00:07.84Z,2012-01-09T00:00:08.12Z,2012-01-09T00:00:00.62Z,2012-01-09T00:00:03.62Z,2012-01-08T23:58:10.10Z
2012-01-10,2012-01-10T00:00:02.12Z,2012-01-10T00:00:09.63Z,2012-01-10T00:00:12.34Z,2012-01-10T00:00:07.84Z,2012-01-10T00:00:08.12Z,2012-01-10T00:00:00.62Z,2012-01-10T00:00:03.62Z,2012-01-09T23:58:10.20Z
2012-01-11,2012-01-11T00:00:02.12Z,2012-01-11T00:00:09.62Z,2012-01-11T00:00:12.34Z,2012-01-11T00:00:07.84Z,2012-01-11T00:00:08.12Z,2012-01-11T00:00:00.63Z,2012-01-11T00:00:03.62Z,2012-01-10T23:58:10.20Z
2012-01-12,2012-01-12T00:00:02.12Z,2012-01-12T00:00:09.62Z,2012-01-12T00:00:12.35Z,2012-01-12T00:00:07.84Z,2012-01-12T00:00:08.12Z,2012-01-12T00:00:00.62Z,2012-01-12T00:00:03.63Z,2012-01-11T23:58:10.20Z
2012-01-14,2012-01-13T23:00:02.12Z,2012-01-13T23:00:09.62Z,2012-01-13T23:00:12.34Z,2012-01-13T23:00:07.84Z,2012-01-13T23:00:08.12Z,2012-01-13T23:00:00.62Z,2012-01-13T23:00:03.62Z,2012-01-13T20:58:10.20Z
2012-01-15,2012-01-15T00:00:02.12Z,2012-01-15T00:00:09.62Z,2012-01-15T00:00:12.34Z,2012-01-15T00:00:07.84Z,2012-01-15T00:00:08.12Z,2012-01-15T00:00:00.62Z,2012-01-15T00:00:03.62Z,2012-01-14T23:58:10.30Z
2012-01-16,2012-01-16T00:00:02.12Z,2012-01-16T00:00:09.62Z,2012-01-16T00:00:12.34Z,2012-01-16T00:00:07.84Z,2012-01-16T00:00:08.12Z,2012-01-16T00:00:00.62Z,2012-01-16T00:00:03.62Z,2012-01-15T23:58:10.30Z
2012-01-17,2012-01-17T00:00:02.12Z,2012-01-17T00:00:09.62Z,2012-01-17T00:00:12.34Z,2012-01-17T00:00:07.84Z,2012-01-17T00:00:08.12Z,2012-01-17T00:00:00.63Z,2012-01-17T00:00:03.63Z,2012-01-16T23:58:10.30Z
2012-01-18,2012-01-18T00:00:02.12Z,2012-01-18T00:00:09.62Z,2012-01-18T00:00:14.28Z,2012-01-18T00:00:09.91Z,2012-01-18T00:00:08.13Z,2012-01-18T00:00:00.62Z,2012-01-18T00:00:03.63Z,2012-01-17T23:58:10.40Z
2012-01-19,2012-01-19T00:00:02.12Z,2012-01-19T00:00:09.62Z,2012-01-19T00:00:12.34Z,2012-01-19T00:00:07.84Z,2012-01-19T00:00:08.12Z,2012-01-19T00:00:00.62Z,2012-01-19T00:00:03.62Z,2012-01-18T23:58:10.40Z
2012-01-20,2012-01-20T00:00:02.12Z,2012-01-20T00:00:09.62Z,2012-01-20T00:00:12.34Z,2012-01-20T00:00:07.84Z,2012-01-20T00:00:08.12Z,2012-01-20T00:00:00.63Z,2012-01-20T00:00:03.63Z,2012-01-19T23:58:10.50Z
2012-01-21,2012-01-21T00:00:02.12Z,2012-01-21T00:00:09.62Z,2012-01-21T00:00:12.35Z,2012-01-21T00:00:07.84Z,2012-01-21T00:00:08.15Z,2012-01-21T00:00:00.63Z,2012-01-21T00:00:03.63Z,2012-01-20T23:58:10.50Z
2012-01-23,2012-01-23T00:00:02.12Z,2012-01-23T00:00:09.62Z,2012-01-23T00:00:12.34Z,2012-01-23T00:00:07.84Z,2012-01-23T00:00:08.12Z,2012-01-23T00:00:00.62Z,2012-01-23T00:00:03.62Z,2012-01-22T23:58:10.60Z
2012-01-24,2012-01-24T00:00:02.12Z,2012-01-24T00:00:09.62Z,2012-01-24T00:00:12.34Z,2012-01-24T00:00:07.84Z,2012-01-24T00:00:08.13Z,2012-01-24T00:00:00.62Z,2012-01-24T00:00:03.62Z,2012-01-23T23:58:10.60Z
2012-01-25,2012-01-25T00:00:02.14Z,2012-01-25T00:00:09.62Z,2012-01-25T00:00:12.34Z,2012-01-25T00:00:07.84Z,2012-01-25T00:00:08.12Z,2012-01-25T00:00:00.62Z,2012-01-25T00:00:03.62Z,2012-01-24T23:58:10.70Z
2012-01-26,2012-01-26T00:00:02.12Z,2012-01-26T00:00:09.62Z,2012-01-26T00:00:12.34Z,2012-01-26T00:00:07.84Z,2012-01-26T00:00:08.12Z,2012-01-26T00:00:00.62Z,2012-01-26T00:00:03.62Z,2012-01-25T23:58:10.70Z
2012-01-27,2012-01-27T00:00:02.12Z,2012-01-27T00:00:09.62Z,2012-01-27T00:00:12.34Z,2012-01-27T00:00:07.84Z,2012-01-27T00:00:08.12Z,2012-01-27T00:00:00.63Z,2012-01-27T00:00:03.63Z,2012-01-26T23:58:10.80Z
2012-01-29,2012-01-29T00:00:02.12Z,2012-01-29T00:00:09.62Z,2012-01-29T00:00:12.35Z,2012-01-29T00:00:07.84Z,2012-01-29T00:00:08.12Z,2012-01-29T00:00:00.62Z,2012-01-29T00:00:03.62Z,2012-01-28T23:58:10.90Z
2012-01-30,2012-01-30T00:00:02.12Z,2012-01-30T00:00:09.62Z,2012-01-30T00:00:12.35Z,2012-01-30T00:00:07.84Z,2012-01-30T00:00:08.12Z,2012-01-30T00:00:00.62Z,2012-01-30T00:00:03.62Z,2012-01-29T23:58:11.00Z
2012-01-31,2012-01-31T00:00:02.13Z,2012-01-31T00:00:09.62Z,2012-01-31T00:00:12.35Z,2012-01-31T00:00:07.84Z,2012-01-31T00:00:08.12Z,2012-01-31T00:00:00.62Z,2012-01-31T00:00:03.62Z,2012-01-30T23:58:11.00Z
2012-02-01,2012-02-01T00:00:02.12Z,2012-02-01T00:00:09.62Z,2012-02-01T00:00:12.34Z,2012-02-01T00:00:07.84Z,2012-02-01T00:00:08.13Z,2012-02-01T00:00:00.62Z,2012-02-01T00:00:03.62Z,2012-01-31T23:58:11.10Z
2012-02-02,2012-02-02T00:00:02.12Z,2012-02-02T00:00:09.62Z,2012-02-02T00:00:12.34Z,2012-02-02T00:00:07.84Z,2012-02-02T00:00:08.12Z,2012-02-02T00:00:00.62Z,2012-02-02T00:00:03.62Z,2012-02-01T23:58:11.10Z
2012-02-03,2012-02-03T00:00:02.12Z,2012-02-03T00:00:09.62Z,2012-02-03T00:00:12.34Z,2012-02-03T00:00:07.84Z,2012-02-03T00:00:08.14Z,2012-02-03T00:00:00.62Z,2012-02-03T00:00:03.62Z,2012-02-02T23:58:11.20Z
2012-02-04,2012-02-04T00:00:02.12Z,2012-02-04T00:00:09.62Z,2012-02-04T00:00:12.34Z,2012-02-04T00:00:07.84Z,2012-02-04T00:00:08.12Z,2012-02-04T00:00:00.63Z,2012-02-04T00:00:03.63Z,2012-02-03T23:58:11.30Z
2012-02-05,2012-02-05T00:00:02.12Z,2012-02-05T00:00:09.62Z,2012-02-05T00:00:12.35Z,2012-02-05T00:00:07.84Z,2012-02-05T00:00:08.12Z,2012-02-05T00:00:00.62Z,2012-02-05T00:00:03.62Z,2012-02-04T23:58:11.40Z
2012-02-06,2012-02-06T00:00:02.12Z,2012-02-06T00:00:09.62Z,2012-02-06T00:00:12.35Z,2012-02-06T00:00:07.84Z,2012-02-06T00:00:08.12Z,2012-02-06T00:00:00.62Z,2012-02-06T00:00:03.62Z,2012-02-05T23:58:11.40Z
2012-02-07,2012-02-07T00:00:02.13Z,2012-02-07T00:00:09.62Z,2012-02-07T00:00:12.34Z,2012-02-07T00:00:07.84Z,2012-02-07T00:00:08.12Z,2012-02-07T00:00:00.62Z,2012-02-07T00:00:03.62Z,2012-02-06T23:58:11.50Z
2012-02-08,2012-02-08T00:00:02.12Z,2012-02-08T00:00:09.62Z,2012-02-08T00:00:12.34Z,2012-02-08T00:00:08.62Z,2012-02-08T00:00:08.12Z,2012-02-08T00:00:00.62Z,2012-02-08T00:00:03.62Z,2012-02-07T23:58:11.60Z
2012-02-09,2012-02-09T00:00:02.12Z,2012-02-09T00:00:09.62Z,2012-02-09T00:00:12.34Z,2012-02-09T00:00:07.84Z,2012-02-09T00:00:08.13Z,2012-02-09T00:00:00.62Z,2012-02-09T00:00:03.62Z,2012-02-08T23:58:11.70Z
2012-02-10,2012-02-10T00:00:02.12Z,2012-02-10T00:00:09.62Z,2012-02-10T00:00:12.34Z,2012-02-10T00:00:07.84Z,2012-02-10T00:00:08.12Z,2012-02-10T00:00:00.62Z,2012-02-10T00:00:03.62Z,2012-02-09T23:58:11.80Z
2012-02-11,2012-02-11T00:00:02.12Z,2012-02-11T00:00:09.62Z,2012-02-11T00:00:12.34Z,2012-02-11T00:00:07.84Z,2012-02-11T00:00:08.13Z,2012-02-11T00:00:00.62Z,2012-02-11T00:00:03.62Z,2012-02-10T23:58:11.90Z
2012-02-12,2012-02-12T00:00:02.12Z,2012-02-12T00:00:09.62Z,2012-02-12T00:00:12.34Z,2012-02-12T00:00:07.84Z,2012-02-12T00:00:08.12Z,2012-02-12T00:00:00.63Z,2012-02-12T00:00:03.63Z,2012-02-11T23:58:12.00Z
2012-02-14,2012-02-14T00:00:02.12Z,2012-02-14T00:00:09.62Z,2012-02-14T00:00:12.34Z,2012-02-14T00:00:07.84Z,2012-02-14T00:00:08.14Z,2012-02-14T00:00:00.62Z,2012-02-14T00:00:03.62Z,2012-02-13T23:58:12.10Z
2012-02-15,2012-02-15T00:00:02.12Z,2012-02-15T00:00:09.62Z,2012-02-15T00:00:12.34Z,2012-02-15T00:00:07.84Z,2012-02-15T00:00:08.12Z,2012-02-15T00:00:00.62Z,2012-02-15T00:00:03.62Z,2012-02-14T23:58:12.20Z
2012-02-16,2012-02-16T00:00:02.13Z,2012-02-16T00:00:09.62Z,2012-02-16T00:00:12.35Z,2012-02-16T00:00:07.84Z,2012-02-16T00:00:08.12Z,2012-02-16T00:00:00.62Z,2012-02-16T00:00:03.62Z,2012-02-15T23:58:12.30Z
2012-02-17,2012-02-17T00:00:02.12Z,2012-02-17T00:00:09.62Z,2012-02-17T00:00:12.34Z,2012-02-17T00:00:07.84Z,2012-02-17T00:00:08.13Z,2012-02-17T00:00:00.62Z,2012-02-17T00:00:03.62Z,2012-02-16T23:58:12.50Z
2012-02-18,2012-02-18T00:00:02.12Z,2012-02-18T00:00:09.62Z,2012-02-18T00:00:12.34Z,2012-02-18T00:00:07.84Z,2012-02-18T00:00:08.12Z,2012-02-18T00:00:00.63Z,2012-02-18T00:00:03.62Z,2012-02-17T23:58:12.60Z
2012-02-19,2012-02-19T00:00:02.12Z,2012-02-19T00:00:09.62Z,2012-02-19T00:00:12.34Z,2012-02-19T00:00:07.84Z,2012-02-19T00:00:08.12Z,2012-02-19T00:00:00.63Z,2012-02-19T00:00:03.62Z,2012-02-18T23:58:12.70Z
2012-02-20,2012-02-20T00:00:02.12Z,2012-02-20T00:00:09.62Z,2012-02-20T00:00:12.34Z,2012-02-20T00:00:07.84Z,2012-02-20T00:00:08.13Z,2012-02-20T00:00:00.62Z,2012-02-20T00:00:03.62Z,2012-02-19T23:58:12.80Z
2012-02-21,2012-02-21T00:00:02.12Z,2012-02-21T00:00:09.62Z,2012-02-21T00:00:12.34Z,2012-02-21T00:00:07.84Z,2012-02-21T00:00:08.12Z,2012-02-21T00:00:00.63Z,2012-02-21T00:00:03.63Z,2012-02-20T23:58:12.90Z
2012-02-22,2012-02-22T00:00:02.13Z,2012-02-22T00:00:09.62Z,2012-02-22T00:00:12.34Z,2012-02-22T00:00:07.84Z,2012-02-22T00:00:08.12Z,2012-02-22T00:00:00.62Z,2012-02-22T00:00:03.62Z,2012-02-21T23:58:13.00Z
2012-02-23,2012-02-23T00:00:02.13Z,2012-02-23T00:00:09.62Z,2012-02-23T00:00:12.35Z,2012-02-23T00:00:07.84Z,2012-02-23T00:00:08.12Z,2012-02-23T00:00:00.63Z,2012-02-23T00:00:03.63Z,2012-02-22T23:58:13.10Z
2012-02-24,2012-02-24T00:00:02.12Z,2012-02-24T00:00:09.62Z,2012-02-24T00:00:12.34Z,2012-02-24T00:00:07.84Z,2012-02-24T00:00:08.14Z,2012-02-24T00:00:00.62Z,2012-02-24T00:00:03.62Z,2012-02-23T23:58:13.20Z
2012-02-25,2012-02-25T00:00:02.12Z,2012-02-25T00:00:09.62Z,2012-02-25T00:00:12.35Z,2012-02-25T00:00:07.84Z,2012-02-25T00:00:08.12Z,2012-02-25T00:00:00.62Z,2012-02-25T00:00:03.62Z,2012-02-24T23:58:13.30Z
2012-02-26,2012-02-26T00:00:02.14Z,2012-02-26T00:00:09.62Z,2012-02-26T00:00:12.34Z,2012-02-26T00:00:07.84Z,2012-02-26T00:00:08.12Z,2012-02-26T00:00:00.62Z,2012-02-26T00:00:03.62Z,2012-02-25T23:58:13.40Z
2012-02-28,2012-02-28T00:00:02.12Z,2012-02-28T00:00:09.62Z,2012-02-28T00:00:12.34Z,2012-02-28T00:00:07.84Z,2012-02-28T00:00:08.12Z,2012-02-28T00:00:00.63Z,2012-02-28T00:00:03.63Z,2012-02-27T23:58:13.70Z
2012-02-29,2012-02-29T00:00:02.12Z,2012-02-29T00:00:09.62Z,2012-02-29T00:00:12.34Z,2012-02-29T00:00:07.84Z,2012-02-29T00:00:08.12Z,2012-02-29T00:00:00.62Z,2012-02-29T00:00:03.63Z,2012-02-28T23:58:13.80Z
2012-03-01,2012-03-01T00:00:02.13Z,2012-03-01T00:00:09.62Z,2012-03-01T00:00:12.35Z,2012-03-01T00:00:07.84Z,2012-03-01T00:00:08.12Z,2012-03-01T00:00:00.63Z,2012-03-01T00:00:03.62Z,2012-02-29T23:58:13.90Z
2012-03-02,2012-03-02T00:00:02.12Z,2012-03-02T00:00:09.62Z,2012-03-02T00:00:12.35Z,2012-03-02T00:00:07.84Z,2012-03-02T00:00:08.12Z,2012-03-02T00:00:00.62Z,2012-03-02T00:00:03.62Z,2012-03-01T23:58:14.00Z
2012-03-03,2012-03-03T00:00:02.13Z,2012-03-03T00:00:09.62Z,2012-03-03T00:00:12.35Z,2012-03-03T00:00:07.84Z,2012-03-03T00:00:08.12Z,2012-03-03T00:00:00.62Z,2012-03-03T00:00:03.62Z,2012-03-02T23:58:14.10Z
2012-03-04,2012-03-04T00:00:02.12Z,2012-03-04T00:00:09.62Z,2012-03-04T00:00:12.35Z,2012-03-04T00:00:07.84Z,2012-03-04T00:00:08.12Z,2012-03-04T00:00:00.62Z,2012-03-04T00:00:03.62Z,2012-03-03T23:58:14.30Z
2012-03-05,2012-03-05T00:00:02.14Z,2012-03-05T00:00:09.62Z,2012-03-05T00:00:12.34Z,2012-03-05T00:00:07.84Z,2012-03-05T00:00:08.12Z,2012-03-05T00:00:00.62Z,2012-03-05T00:00:03.62Z,2012-03-04T23:58:14.40Z
2012-03-06,2012-03-06T00:00:02.12Z,2012-03-06T00:00:09.62Z,2012-03-06T00:00:12.34Z,2012-03-06T00:00:07.84Z,2012-03-06T00:00:08.12Z,2012-03-06T00:00:00.62Z,2012-03-06T00:00:03.63Z,2012-03-05T23:58:14.50Z
2012-03-07,2012-03-07T00:00:02.12Z,2012-03-07T00:00:09.62Z,2012-03-07T00:00:12.35Z,2012-03-07T00:00:07.84Z,2012-03-07T00:00:08.12Z,2012-03-07T00:00:00.62Z,2012-03-07T00:00:03.62Z,2012-03-06T23:58:14.60Z
2012-03-08,2012-03-08T00:00:02.12Z,2012-03-08T00:00:09.63Z,2012-03-08T00:00:12.34Z,2012-03-08T00:00:07.84Z,2012-03-08T00:00:08.13Z,2012-03-08T00:00:00.63Z,2012-03-08T00:00:03.63Z,2012-03-07T23:58:14.80Z
2012-03-09,2012-03-09T00:00:02.12Z,2012-03-09T00:00:09.62Z,2012-03-09T00:00:12.34Z,2012-03-09T00:00:07.84Z,2012-03-09T00:00:08.12Z,2012-03-09T00:00:00.62Z,2012-03-09T00:00:03.62Z,2012-03-08T23:58:14.90Z
2012-03-10,2012-03-10T00:00:02.12Z,2012-03-10T00:00:09.62Z,2012-03-10T00:00:12.34Z,2012-03-10T00:00:07.84Z,2012-03-10T00:00:08.13Z,2012-03-10T00:00:00.62Z,2012-03-10T00:00:03.62Z,2012-03-09T23:58:15.00Z
2012-03-12,2012-03-12T00:00:02.12Z,2012-03-12T00:00:09.62Z,2012-03-12T00:00:12.34Z,2012-03-12T00:00:07.84Z,2012-03-12T00:00:08.12Z,2012-03-12T00:00:00.62Z,2012-03-12T00:00:03.62Z,2012-03-11T23:58:15.30Z
2012-03-13,2012-03-13T00:00:02.14Z,2012-03-13T00:00:09.64Z,2012-03-13T00:00:12.34Z,2012-03-13T00:00:07.84Z,2012-03-13T00:00:08.12Z,2012-03-13T00:00:00.62Z,2012-03-13T00:00:03.63Z,2012-03-12T23:58:15.40Z
2012-03-14,2012-03-14T00:00:02.12Z,2012-03-14T00:00:09.62Z,2012-03-14T00:00:12.34Z,2012-03-14T00:00:07.84Z,2012-03-14T00:00:08.14Z,2012-03-14T00:00:00.63Z,2012-03-14T00:00:03.62Z,2012-03-13T23:58:15.60Z
2012-03-15,2012-03-15T00:00:02.12Z,2012-03-15T00:00:09.62Z,2012-03-15T00:00:12.34Z,2012-03-15T00:00:07.84Z,2012-03-15T00:00:08.12Z,2012-03-15T00:00:00.62Z,2012-03-15T00:00:03.62Z,2012-03-14T23:58:15.70Z
2012-03-16,2012-03-16T00:00:02.12Z,2012-03-16T00:00:09.62Z,2012-03-16T00:00:12.35Z,2012-03-16T00:00:07.84Z,2012-03-16T00:00:08.12Z,2012-03-16T00:00:00.62Z,2012-03-16T00:00:03.62Z,2012-03-15T23:58:15.90Z
2012-03-17,2012-03-17T00:00:02.13Z,2012-03-17T00:00:09.62Z,2012-03-17T00:00:12.35Z,2012-03-17T00:00:07.84Z,2012-03-17T00:00:08.12Z,2012-03-17T00:00:00.62Z,2012-03-17T00:00:03.62Z,2012-03-16T23:58:16.00Z
2012-03-18,2012-03-18T00:00:02.12Z,2012-03-18T00:00:09.62Z,2012-03-18T00:00:12.35Z,2012-03-18T00:00:07.84Z,2012-03-18T00:00:08.12Z,2012-03-18T00:00:00.62Z,2012-03-18T00:00:03.62Z,2012-03-17T23:58:16.10Z
2012-03-19,2012-03-18T23:00:02.13Z,2012-03-18T23:00:09.62Z,2012-03-18T23:00:12.35Z,2012-03-18T23:00:07.84Z,2012-03-18T23:00:08.13Z,2012-03-18T23:00:00.62Z,2012-03-18T23:00:03.62Z,2012-03-18T22:10:16.20Z
2012-03-20,2012-03-20T00:00:02.12Z,2012-03-20T00:00:09.62Z,2012-03-20T00:00:12.35Z,2012-03-20T00:00:07.84Z,2012-03-20T00:00:08.13Z,2012-03-20T00:00:00.62Z,2012-03-20T00:00:03.62Z,2012-03-19T23:58:16.40Z
2012-03-21,2012-03-21T00:00:02.12Z,2012-03-21T00:00:09.62Z,2012-03-21T00:00:12.34Z,2012-03-21T00:00:07.84Z,2012-03-21T00:00:08.12Z,2012-03-21T00:00:00.62Z,2012-03-21T00:00:03.62Z,2012-03-20T23:58:16.60Z
2012-03-22,2012-03-22T00:00:02.12Z,2012-03-22T00:00:09.65Z,2012-03-22T00:00:12.34Z,2012-03-22T00:00:07.84Z,2012-03-22T00:00:08.12Z,2012-03-22T00:00:00.62Z,2012-03-22T00:00:03.62Z,2012-03-21T23:58:16.70Z
2012-03-23,2012-03-23T00:00:02.12Z,2012-03-23T00:00:09.62Z,2012-03-23T00:00:12.35Z,2012-03-23T00:00:07.84Z,2012-03-23T00:00:08.12Z,2012-03-23T00:00:00.62Z,2012-03-23T00:00:03.62Z,2012-03-22T23:58:16.80Z
2012-03-24,2012-03-24T00:00:02.12Z,2012-03-24T00:00:09.62Z,2012-03-24T00:00:12.34Z,2012-03-24T00:00:07.84Z,2012-03-24T00:00:08.12Z,2012-03-24T00:00:00.62Z,2012-03-24T00:00:03.62Z,2012-03-23T23:58:17.00Z
2012-03-25,2012-03-25T00:00:02.12Z,2012-03-25T00:00:09.64Z,2012-03-25T00:00:12.35Z,2012-03-25T00:00:07.84Z,2012-03-25T00:00:08.12Z,2012-03-25T00:00:00.62Z,2012-03-25T00:00:03.62Z,2012-03-24T23:58:17.10Z
2012-03-26,2012-03-26T00:00:02.13Z,2012-03-26T00:00:09.62Z,2012-03-26T00:00:12.35Z,2012-03-26T00:00:07.84Z,2012-03-26T00:00:08.12Z,2012-03-26T00:00:00.62Z,2012-03-26T00:00:03.62Z,2012-03-25T23:58:17.30Z
2012-03-27,2012-03-27T00:00:02.12Z,2012-03-27T00:00:09.62Z,2012-03-27T00:00:12.34Z,2012-03-27T00:00:07.84Z,2012-03-27T00:00:08.12Z,2012-03-27T00:00:00.63Z,2012-03-27T00:00:03.63Z,2012-03-26T23:58:17.40Z
2012-03-28,2012-03-28T00:00:02.12Z,2012-03-28T00:00:09.62Z,2012-03-28T00:00:12.35Z,2012-03-28T00:00:07.84Z,2012-03-28T00:00:08.12Z,2012-03-28T00:00:00.62Z,2012-03-28T00:00:03.62Z,2012-03-27T23:58:17.60Z
2012-03-29,2012-03-29T00:00:02.13Z,2012-03-29T00:00:09.62Z,2012-03-29T00:00:12.34Z,2012-03-29T00:00:07.84Z,2012-03-29T00:00:08.12Z,2012-03-29T00:00:00.62Z,2012-03-29T00:00:03.62Z,2012-03-28T23:58:17.70Z
2012-03-30,2012-03-29T23:00:02.12Z,2012-03-29T23:00:09.62Z,2012-03-29T23:00:12.34Z,2012-03-29T23:00:07.84Z,2012-03-29T23:00:08.12Z,2012-03-29T23:00:00.63Z,2012-03-29T23:00:03.63Z,2012-03-29T21:22:17.70Z
2012-03-31,2012-03-31T00:00:02.12Z,2012-03-31T00:00:09.62Z,2012-03-31T00:00:12.34Z,2012-03-31T00:00:07.84Z,2012-03-31T00:00:08.14Z,2012-03-31T00:00:00.62Z,2012-03-31T00:00:03.62Z,2012-03-30T23:58:18.00Z
2012-04-01,2012-04-01T00:00:02.12Z,2012-04-01T00:00:09.62Z,2012-04-01T00:00:12.34Z,2012-04-01T00:00:07.84Z,2012-04-01T00:00:08.13Z,2012-04-01T00:00:00.62Z,2012-04-01T00:00:03.62Z,2012-03-31T23:58:18.10Z
